Make,Model,Year,Type,Range,MSRP,VIN (1-10),Country,City, State, Postal Code,Eligibility,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
HYUNDAI,KONA,2020,Battery Electric Vehicle (BEV),258,0,KM8K33AGXL,King,Seattle,WA,98103,Clean Alternative Fuel Vehicle Eligible,43,249675142,POINT (-122.34301 47.659185),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033004800
JEEP,GRAND CHEROKEE,2022,Plug-in Hybrid Electric Vehicle (PHEV),25,0,1C4RJYB61N,King,Bothell,WA,98011,Not eligible due to low battery range,1,233928502,POINT (-122.20578 47.762405),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033021804
JEEP,GRAND CHEROKEE,2023,Plug-in Hybrid Electric Vehicle (PHEV),25,0,1C4RJYD61P,Yakima,Yakima,WA,98908,Not eligible due to low battery range,14,229675939,POINT (-120.6027202 46.5965625),PACIFICORP,53077002900
TESLA,MODEL 3,2018,Battery Electric Vehicle (BEV),215,0,5YJ3E1EA7J,King,Kirkland,WA,98034,Clean Alternative Fuel Vehicle Eligible,45,104714466,POINT (-122.209285 47.71124),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033021903
BMW,I3,2018,Plug-in Hybrid Electric Vehicle (PHEV),97,0,WBY7Z8C5XJ,Thurston,Olympia,WA,98501,Clean Alternative Fuel Vehicle Eligible,22,185498386,POINT (-122.89692 47.043535),PUGET SOUND ENERGY INC,53067010700
TESLA,MODEL 3,2020,Battery Electric Vehicle (BEV),266,0,5YJ3E1EAXL,Snohomish,Marysville,WA,98271,Clean Alternative Fuel Vehicle Eligible,38,124595523,POINT (-122.1713847 48.10433),PUGET SOUND ENERGY INC,53061940001
CHRYSLER,PACIFICA,2017,Plug-in Hybrid Electric Vehicle (PHEV),33,0,2C4RC1N77H,King,Kent,WA,98042,Clean Alternative Fuel Vehicle Eligible,47,1815593,POINT (-122.111625 47.36078),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033031707
TESLA,MODEL Y,2020,Battery Electric Vehicle (BEV),291,0,5YJYGDEE3L,King,Woodinville,WA,98072,Clean Alternative Fuel Vehicle Eligible,45,124760555,POINT (-122.151665 47.75855),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033021906
TESLA,MODEL 3,2018,Battery Electric Vehicle (BEV),215,0,5YJ3E1EA1J,Island,Coupeville,WA,98239,Clean Alternative Fuel Vehicle Eligible,10,125048003,POINT (-122.6880708 48.2179983),PUGET SOUND ENERGY INC,53029971000
TESLA,MODEL Y,2023,Battery Electric Vehicle (BEV),0,0,7SAYGDEF0P,King,Bellevue,WA,98004,Eligibility unknown as battery range has not been researched,48,240416207,POINT (-122.201905 47.61385),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023806
TESLA,MODEL 3,2018,Battery Electric Vehicle (BEV),215,0,5YJ3E1EA7J,King,Kirkland,WA,98033,Clean Alternative Fuel Vehicle Eligible,48,231013436,POINT (-122.20264 47.6785),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022603
FORD,FUSION,2016,Plug-in Hybrid Electric Vehicle (PHEV),19,0,3FA6P0SU9G,Kitsap,Port Orchard,WA,98367,Not eligible due to low battery range,26,212561716,POINT (-122.6851642 47.506453),PUGET SOUND ENERGY INC,53035092902
TOYOTA,PRIUS PRIME,2017,Plug-in Hybrid Electric Vehicle (PHEV),25,0,JTDKARFP9H,Kitsap,Port Orchard,WA,98366,Not eligible due to low battery range,26,229764972,POINT (-122.639265 47.5373),PUGET SOUND ENERGY INC,53035092600
TESLA,MODEL 3,2019,Battery Electric Vehicle (BEV),220,0,5YJ3E1EB8K,Snohomish,Mukilteo,WA,98275,Clean Alternative Fuel Vehicle Eligible,21,179728755,POINT (-122.299965 47.94171),PUGET SOUND ENERGY INC,53061041301
TESLA,MODEL 3,2019,Battery Electric Vehicle (BEV),220,0,5YJ3E1EA5K,King,Redmond,WA,98052,Clean Alternative Fuel Vehicle Eligible,45,120633516,POINT (-122.12302 47.67668),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032323
FORD,FUSION,2013,Plug-in Hybrid Electric Vehicle (PHEV),19,0,3FA6P0SU0D,Thurston,Rochester,WA,98579,Not eligible due to low battery range,20,138697212,POINT (-123.09573 46.82158),PUGET SOUND ENERGY INC,53067012730
AUDI,E-TRON,2019,Battery Electric Vehicle (BEV),204,0,WA1VABGE4K,King,Seattle,WA,98112,Clean Alternative Fuel Vehicle Eligible,43,475364046,POINT (-122.306935 47.62441),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033006400
NISSAN,LEAF,2015,Battery Electric Vehicle (BEV),84,0,1N4AZ0CP6F,King,Seattle,WA,98125,Clean Alternative Fuel Vehicle Eligible,46,252522896,POINT (-122.296385 47.71558),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000201
KIA,NIRO,2019,Plug-in Hybrid Electric Vehicle (PHEV),26,0,KNDCC3LD7K,Kitsap,Bremerton,WA,98311,Not eligible due to low battery range,23,2148170,POINT (-122.6468815 47.6344364),PUGET SOUND ENERGY INC,53035091204
NISSAN,LEAF,2014,Battery Electric Vehicle (BEV),84,0,1N4AZ0CP1E,Kitsap,Poulsbo,WA,98370,Clean Alternative Fuel Vehicle Eligible,23,258176922,POINT (-122.64177 47.737525),PUGET SOUND ENERGY INC,53035091100
BMW,X5,2018,Plug-in Hybrid Electric Vehicle (PHEV),13,0,5UXKT0C51J,King,Kent,WA,98042,Not eligible due to low battery range,47,291897987,POINT (-122.111625 47.36078),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033031708
TESLA,MODEL S,2018,Battery Electric Vehicle (BEV),249,0,5YJSA1E22J,Snohomish,Marysville,WA,98271,Clean Alternative Fuel Vehicle Eligible,39,172808163,POINT (-122.1713847 48.10433),PUGET SOUND ENERGY INC,53061052808
CHEVROLET,VOLT,2013,Plug-in Hybrid Electric Vehicle (PHEV),38,0,1G1RB6E46D,Kitsap,Bremerton,WA,98312,Clean Alternative Fuel Vehicle Eligible,35,138557555,POINT (-122.65223 47.57192),PUGET SOUND ENERGY INC,53035080700
TOYOTA,RAV4,2014,Battery Electric Vehicle (BEV),103,0,2T3YL4DV5E,King,Seattle,WA,98108,Clean Alternative Fuel Vehicle Eligible,11,183567149,POINT (-122.326965 47.55015),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033010001
TOYOTA,PRIUS PRIME,2017,Plug-in Hybrid Electric Vehicle (PHEV),25,0,JTDKARFP5H,Snohomish,Lake Stevens,WA,98258,Not eligible due to low battery range,44,160057901,POINT (-122.112265 48.0047),PUGET SOUND ENERGY INC,53061052607
TESLA,MODEL 3,2020,Battery Electric Vehicle (BEV),322,0,5YJ3E1EB6L,Kitsap,Silverdale,WA,98383,Clean Alternative Fuel Vehicle Eligible,23,6335647,POINT (-122.668076 47.665978),PUGET SOUND ENERGY INC,53035091302
TESLA,MODEL 3,2018,Battery Electric Vehicle (BEV),215,0,5YJ3E1EB3J,King,Kirkland,WA,98033,Clean Alternative Fuel Vehicle Eligible,45,205530552,POINT (-122.20264 47.6785),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022401
FORD,C-MAX,2016,Plug-in Hybrid Electric Vehicle (PHEV),19,0,1FADP5CU0G,Kitsap,Kingston,WA,98346,Not eligible due to low battery range,23,1465033,POINT (-122.50156 47.8019),PUGET SOUND ENERGY INC,53035090102
VOLKSWAGEN,E-GOLF,2019,Battery Electric Vehicle (BEV),125,0,WVWKR7AU0K,King,Kirkland,WA,98033,Clean Alternative Fuel Vehicle Eligible,45,306865107,POINT (-122.20264 47.6785),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022006
TESLA,MODEL S,2020,Battery Electric Vehicle (BEV),330,0,5YJSA1E29L,Kitsap,Kingston,WA,98346,Clean Alternative Fuel Vehicle Eligible,23,110621444,POINT (-122.50156 47.8019),PUGET SOUND ENERGY INC,53035090102
NISSAN,LEAF,2015,Battery Electric Vehicle (BEV),84,0,1N4AZ0CP7F,Thurston,Olympia,WA,98506,Clean Alternative Fuel Vehicle Eligible,22,141547311,POINT (-122.8874781 47.0519573),PUGET SOUND ENERGY INC,53067010200
